"Title","Url","RewardAmount","RewardCurrency","ApproxUsd","StatusClosed","CashLike","Decision","Summary"
"[每日信息流] 2025-07-09 · Issue #879 · ruohong2018/ruohong2018.github.io","https://github.com/ruohong2018/ruohong2018.github.io/issues/879",,"UNKNOWN","0","False","False","SKIP NON-CASH","# 每日安全资讯（2025-07-09） - SecWiki News   - [SecWiki News 2025-07-08 Review](http://www.sec-wiki.com/?2025-07-08) - paper - Last paper"
"🗺️ Project Roadmap & Development Plan: XBOW-Metascan AI Pentesting Platform · Issue #1 · Teketkom/metascan-xbow-ai-pentester","https://github.com/Teketkom/metascan-xbow-ai-pentester/issues/1",,"UNKNOWN","0","False","False","SKIP NON-CASH","# 🗺️ XBOW-Metascan: Complete Development Roadmap ## 🎯 Vision Create the world's first **open-source, AI-powered, autonomous penetration testing platform** with deep Metascan integration, rivaling commercial solutions like XBOW while remaining transparent, extensible, and cost-effective. ---"
"MORE CI MWAAAAAAAAAHHHAHAHAHAHAHAHHAHAHAHAHAHAHAHAHAHAHAHAHHH · Issue #118 · OmniBlocks/monorepo","https://github.com/OmniBlocks/monorepo/issues/118",,"UNKNOWN","0","False","False","SKIP NON-CASH","i think im gonna go insane since public repos have infinite CI WE NEED MOREEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE especially stuff like prtest.yml test.yml and the visual reggression tester! those are so cool! wahhhhh!"
"Submit Your MCP Servers here · Issue #1 · chatmcp/mcpso","https://github.com/chatmcp/mcpso/issues/1",,"UNKNOWN","0","False","False","SKIP NON-CASH","Leave your MCP Servers links. We will make it visiable on https://mcp.so"
"[每日信息流] 2023-02-16 · Issue #73 · ruohong2018/ruohong2018.github.io","https://github.com/ruohong2018/ruohong2018.github.io/issues/73",,"UNKNOWN","0","False","False","SKIP NON-CASH","# 每日安全资讯（2023-02-16） - 先知安全技术社区   - [ ] [网络安全实验室7.综合关](https://xz.aliyun.com/t/12166)   - [ ] [Flask基础及模板注入漏洞（SSTI）](https://xz.aliyun.com/t/12163)"
"[BOUNTY] Red Team UTXO Implementation — Find Bugs, Earn RTC (33-133 RTC) · Issue #2819 · Scottcjn/rustchain-bounties","https://github.com/Scottcjn/rustchain-bounties/issues/2819",,"UNKNOWN","0","False","False","SKIP NON-CASH","## Overview RustChain is migrating from an account-based balance model to a full UTXO (Unspent Transaction Output) model. **Phase 1+2 just landed** in [`39bf02b`](https://github.com/Scottcjn/Rustchain/commit/39bf02b). We want adversarial eyes on this before enabling dual-write on production. Break it, get paid. ## Files to Review"
"[Bounty] Fix typos and improve docs - quick PR · Issue #258 · Ikalus1988/MisakaNet","https://github.com/Ikalus1988/MisakaNet/issues/258",,"UNKNOWN","0","False","False","SKIP NON-CASH","## Bounty: Fix a Typo or Improve a Doc (Quick PR) **Reward**: Merge + Hall of Fame + ""MisakaNet Contributor"" badge **Flywheel**: More merged PRs -> GitHub ""active project"" signal -> algorithm recommends to more users ### Task"
"[REVIEW] patch-prioritization: require SSVC decision-point evidence before SLA tiering · Issue #1040 · UnitOneAI/SecuritySkills","https://github.com/UnitOneAI/SecuritySkills/issues/1040",,"UNKNOWN","0","False","False","SKIP PROGRAM PAUSED","## Skill Being Reviewed **Skill name:** `patch-prioritization` **Skill path:** `skills/vuln-management/patch-prioritization/` ## False Positive Analysis"
"[每日信息流] 2023-02-16 · Issue #171 · BruceFeIix/picker","https://github.com/BruceFeIix/picker/issues/171",,"UNKNOWN","0","False","False","SKIP NON-CASH","# 每日安全资讯（2023-02-16） - 先知安全技术社区   - [ ] [网络安全实验室7.综合关](https://xz.aliyun.com/t/12166)   - [ ] [Flask基础及模板注入漏洞（SSTI）](https://xz.aliyun.com/t/12163)"
"[每日信息流] 2025-10-03 · Issue #966 · ruohong2018/ruohong2018.github.io","https://github.com/ruohong2018/ruohong2018.github.io/issues/966",,"UNKNOWN","0","False","False","SKIP NON-CASH","# 每日安全资讯（2025-10-03） - SecWiki News   - [SecWiki News 2025-10-02 Review](http://www.sec-wiki.com/?2025-10-02) - Recent Commits to cve:main"
